label,Company,Country,Federal state,Municipality,Side,Wood species,Harvesting date,GPS coordinate lat,GPS coordinate long,Trunc diameter,Size class,Quality class,Assortment,Length,Lumber quantity,Moon phase,Date of Sale,Customer,Export,National Trade,Certification,Loading point (GPS lat),Loading point (GPS long)
F1L1,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.828579,12.982120,34,D3a,B,Bloch,5,0.45,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L2,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/1/24 0:00,46.832483,12.986896,26,D2b,B,Bloch,5,0,26,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L3,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.849655,12.964467,26,D2b,C,Bloch,5,0,26,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L4,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.849565,12.968933,32,D3a,B,Bloch,5,0,40,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L5,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.823150,12.987710,54,D5,B,Bloch,5,1,14,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L6,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.816323,12.989422,28,D2b,C,Bloch,5,0,30,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L7,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.816849,12.988076,39,D3b,C,Bloch,5,0,59,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L8,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.828403,12.991605,33,D3a,A,Bloch,5,0,42,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L9,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.830787,12.944121,42,D4,C,Bloch,5,0,69,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L10,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/1/24 0:00,46.848527,12.977230,33,D3a,B,Bloch,5,0,42,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L11,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.854907,12.980841,30,D3a,C,Bloch,5,0,35,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L12,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.847562,12.992353,41,D4,C,Bloch,5,0,66,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L13,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.840211,12.986152,25,D2b,B,Bloch,5,0,24,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L14,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/1/24 0:00,46.848192,12.963351,29,D2b,B,Bloch,5,0,33,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L15,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.835616,12.949622,39,D3b,B,Bloch,5,0,59,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L16,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.836522,12.974081,56,D5,C,Bloch,5,1,23,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L17,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/1/24 0:00,46.826956,12.967865,41,D4,C,Bloch,5,0,66,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L18,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.833902,12.972441,40,D4,C,Bloch,5,0,62,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L19,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.851575,12.955438,37,D3b,C,Bloch,5,0,53,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L20,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.824947,12.990195,51,D5,A,Wertholz,5,1,02,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L21,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.836019,12.974800,45,D4,C,Bloch,5,0,79,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L22,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.839268,12.976411,36,D3b,B,Bloch,5,0,50,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L23,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.827770,12.948348,32,D3a,A,Bloch,5,0,40,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L24,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.820674,12.955321,47,D4,C,Bloch,5,0,86,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L25,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.830876,12.994490,52,D5,B,Bloch,5,1,06,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L26,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.823786,12.971514,58,D5,C,Bloch,5,1,32,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L27,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.839497,12.996565,50,D5,C,Bloch,5,0,98,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L28,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/1/24 0:00,46.826132,12.958392,32,D3a,C,Bloch,5,0,40,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L29,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.822437,12.940804,44,D4,A,Wertholz,9,1,36,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L30,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.835058,12.948839,31,D3a,B,Bloch,5,0,37,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L31,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/1/24 0:00,46.823914,12.963877,40,D4,C,Bloch,5,0,62,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L32,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.837573,12.957478,34,D3a,C,Bloch,5,0,45,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L33,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.819277,12.957693,45,D4,C,Bloch,5,0,79,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L34,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.833940,12.943852,53,D5,C,Bloch,5,1,10,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L35,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.855316,12.996531,40,D4,B,Bloch,5,0,62,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L36,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/1/24 0:00,46.845174,12.969449,26,D2b,C,Bloch,5,0,26,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L37,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.836122,12.950739,39,D3b,B,Bloch,5,0,59,full moon,,sawmill,no,yes,no,46.840642,12.941741
