label,Company,Seller,Delivery number,Delivery date,Wood species,Lumber quantity,Trunc diameter,Assortment,Size class,Length (m),Quality class,Import,National Trade,Certification,Storage Place
F1L1,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,45,34,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L2,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,26,26,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L3,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,26,26,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L4,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,4,32,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L5,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,1,14,54,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L6,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,3,28,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L7,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,0,59,39,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L8,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,0,42,33,Bloch,D3a,5,A,no,yes,no,fir Bloch
F1L9,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,69,42,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L10,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,42,33,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L11,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,35,30,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L12,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,66,41,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L13,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,24,25,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L14,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,33,29,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L15,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,0,59,39,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L16,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,1,23,56,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L17,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,66,41,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L18,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L19,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,53,37,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L20,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,1,02,51,Wertholz,D5,5,A,no,yes,no,fir Wertholz
F1L21,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,0,79,45,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L22,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,5,36,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L23,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,4,32,Bloch,D3a,5,A,no,yes,no,spruce Bloch
F1L24,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,86,47,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L25,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,1,06,52,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L26,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,1,32,58,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L27,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,98,50,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L28,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,4,32,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L29,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,1,36,44,Wertholz,D4,9,A,no,yes,no,spruce Wertholz
F1L30,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,0,37,31,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L31,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,62,40,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L32,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,larch,0,45,34,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L33,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,spruce,0,79,45,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L34,Sawmill Bioholz GmbH,forest1,58480,08-Feb-2024,fir,1,1,53,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L35,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,62,40,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L36,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,26,26,Bloch,D2b,5,C,no,yes,no,larch Bloch
