ID,label,Name company,Freight departure date,Delivery number,Delivery location,Cargo vehicle,Loading point (GPS lat),Loading point (GPS long),Tree species,Assortment,Lumber quantity,Length,Import,Export,National Trade,Certification
1,F1L1,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,45,5,no,no,yes,no
2,F1L2,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,26,5,no,no,yes,no
3,F1L3,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,26,5,no,no,yes,no
4,F1L4,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,4,5,no,no,yes,no
5,F1L5,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,14,5,no,no,yes,no
6,F1L6,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,3,5,no,no,yes,no
7,F1L7,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,59,5,no,no,yes,no
8,F1L8,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,42,5,no,no,yes,no
9,F1L9,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,69,5,no,no,yes,no
10,F1L10,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,42,5,no,no,yes,no
11,F1L11,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,35,5,no,no,yes,no
12,F1L12,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,66,5,no,no,yes,no
13,F1L13,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,24,5,no,no,yes,no
14,F1L14,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,33,5,no,no,yes,no
15,F1L15,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,59,5,no,no,yes,no
16,F1L16,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,23,5,no,no,yes,no
